,CustomerID,Recency_val,freq_val,Amount,Mont_val
0,17850.0,1,3,789.47,4
1,13047.0,1,1,1080.48,5
2,13047.0,2,1,1080.48,5
3,13047.0,3,1,1080.48,5
4,13047.0,4,1,1080.48,5
5,13047.0,5,1,1080.48,5
6,13748.0,1,1,642.9499999999999,4
7,13748.0,3,1,642.9499999999999,4
8,13748.0,4,1,642.9499999999999,4
9,15100.0,1,1,525.5999999999999,4
10,15291.0,1,2,3002.6400000000003,5
11,15291.0,2,2,3002.6400000000003,5
12,15291.0,3,2,3002.6400000000003,5
13,15291.0,4,2,3002.6400000000003,5
14,15291.0,5,2,3002.6400000000003,5
15,14688.0,1,2,2247.3999999999996,5
16,14688.0,2,2,2247.3999999999996,5
17,14688.0,3,2,2247.3999999999996,5
18,14688.0,4,2,2247.3999999999996,5
19,14688.0,5,2,2247.3999999999996,5
20,17809.0,1,1,4659.609999999999,5
21,17809.0,2,1,4659.609999999999,5
22,17809.0,3,1,4659.609999999999,5
23,17809.0,4,1,4659.609999999999,5
24,17809.0,5,1,4659.609999999999,5
25,15311.0,1,5,10786.389999999994,5
26,15311.0,2,5,10786.389999999994,5
27,15311.0,3,5,10786.389999999994,5
28,15311.0,4,5,10786.389999999994,5
29,15311.0,5,5,10786.389999999994,5
30,16098.0,1,1,1486.3600000000004,5
31,16098.0,2,1,1486.3600000000004,5
32,16098.0,3,1,1486.3600000000004,5
33,16098.0,4,1,1486.3600000000004,5
34,18074.0,1,1,471.9,3
35,17420.0,1,1,318.15000000000003,3
36,17420.0,3,1,318.15000000000003,3
37,17420.0,5,1,318.15000000000003,3
43,16250.0,1,1,268.39,2
44,16250.0,2,1,268.39,2
50,13705.0,1,1,492.1799999999999,3
51,13705.0,4,1,492.1799999999999,3
52,13705.0,5,1,492.1799999999999,3
53,13747.0,1,1,79.6,1
54,13408.0,1,5,8853.910000000002,5
55,13408.0,2,5,8853.910000000002,5
56,13408.0,3,5,8853.910000000002,5
57,13408.0,4,5,8853.910000000002,5
58,13408.0,5,5,8853.910000000002,5
59,13767.0,1,4,5233.19,5
60,13767.0,2,4,5233.19,5
61,13767.0,3,4,5233.19,5
62,13767.0,4,4,5233.19,5
63,13767.0,5,4,5233.19,5
64,17924.0,1,1,2094.42,5
65,17924.0,2,1,2094.42,5
66,17924.0,5,1,2094.42,5
67,13448.0,1,1,1450.5600000000002,5
68,13448.0,3,1,1450.5600000000002,5
69,13448.0,4,1,1450.5600000000002,5
70,13448.0,5,1,1450.5600000000002,5
71,15862.0,1,1,555.8,4
72,15862.0,3,1,555.8,4
73,15862.0,4,1,555.8,4
74,15862.0,5,1,555.8,4
75,15513.0,1,2,7093.110000000003,5
76,15513.0,2,2,7093.110000000003,5
77,15513.0,3,2,7093.110000000003,5
78,15513.0,4,2,7093.110000000003,5
79,15513.0,5,2,7093.110000000003,5
80,16218.0,1,1,1333.12,5
81,16218.0,2,1,1333.12,5
82,16218.0,3,1,1333.12,5
83,16218.0,4,1,1333.12,5
84,16218.0,5,1,1333.12,5
85,14045.0,1,1,1659.75,5
86,14045.0,4,1,1659.75,5
87,14307.0,1,1,1106.77,5
88,14307.0,3,1,1106.77,5
89,14307.0,4,1,1106.77,5
90,17908.0,1,1,156.05999999999995,1
91,17920.0,1,2,1572.6900000000003,5
92,17920.0,3,2,1572.6900000000003,5
93,17920.0,4,2,1572.6900000000003,5
94,17920.0,5,2,1572.6900000000003,5
95,12838.0,1,1,424.38,3
96,12838.0,5,1,424.38,3
97,13255.0,1,1,359.71,3
98,13255.0,5,1,359.71,3
99,16583.0,1,1,117.65,1
100,18085.0,1,1,454.2500000000001,3
101,13758.0,1,1,1541.9299999999998,5
